Message,Label,Message_Length,Clean_Text,Word_Count
I want to book an appointment for Thursday.,Booking,43,want book appoint thursday,4
I would like to meet the doctor on tomorrow.,Booking,44,would like meet doctor tomorrow,5
I would like to meet the pediatrician on next Monday.,Booking,53,would like meet pediatrician next monday,6
I would like to meet the doctor on Monday.,Booking,42,would like meet doctor monday,5
I would like to meet the ENT specialist on next week.,Booking,53,would like meet ent specialist next week,7
Need an appointment with the physician.,Booking,39,need appoint physician,3
I would like to meet the ENT specialist on Tuesday.,Booking,51,would like meet ent specialist tuesday,6
I would like to meet the eye specialist on tomorrow.,Booking,52,would like meet eye specialist tomorrow,6
I would like to meet the dentist on Saturday.,Booking,45,would like meet dentist saturday,5
I would like to meet the physician on Wednesday.,Booking,48,would like meet physician wednesday,5
I would like to meet the eye specialist on next Monday.,Booking,55,would like meet eye specialist next monday,7
I'd like to reserve a slot for tomorrow.,Booking,40,id like reserv slot tomorrow,5
I would like to meet the dermatologist on tomorrow.,Booking,51,would like meet dermatologist tomorrow,5
I would like to meet the orthopedic specialist on Saturday.,Booking,59,would like meet orthoped specialist saturday,6
I would like to meet the ENT specialist on Saturday.,Booking,52,would like meet ent specialist saturday,6
I would like to meet the orthopedic specialist on next week.,Booking,60,would like meet orthoped specialist next week,7
I would like to meet the physician on Tuesday.,Booking,46,would like meet physician tuesday,5
I would like to meet the pediatrician on Thursday.,Booking,50,would like meet pediatrician thursday,5
I would like to meet the cardiologist on Wednesday.,Booking,51,would like meet cardiologist wednesday,5
I would like to meet the dermatologist on next week.,Booking,52,would like meet dermatologist next week,6
I would like to meet the ENT specialist on this evening.,Booking,56,would like meet ent specialist even,6
I would like to meet the dentist on tomorrow.,Booking,45,would like meet dentist tomorrow,5
I would like to meet the physician on this evening.,Booking,51,would like meet physician even,5
I would like to meet the physician on Friday.,Booking,45,would like meet physician friday,5
I would like to meet the dermatologist on Tuesday.,Booking,50,would like meet dermatologist tuesday,5
I would like to meet the neurologist on Tuesday.,Booking,48,would like meet neurologist tuesday,5
I would like to meet the dentist on next Monday.,Booking,48,would like meet dentist next monday,6
I would like to meet the pediatrician on tomorrow.,Booking,50,would like meet pediatrician tomorrow,5
I would like to meet the doctor on Thursday.,Booking,44,would like meet doctor thursday,5
I would like to meet the cardiologist on tomorrow.,Booking,50,would like meet cardiologist tomorrow,5
I would like to meet the orthopedic specialist on Thursday.,Booking,59,would like meet orthoped specialist thursday,6
I would like to meet the neurologist on Friday.,Booking,47,would like meet neurologist friday,5
I would like to meet the doctor on this evening.,Booking,48,would like meet doctor even,5
I would like to meet the pediatrician on Tuesday.,Booking,49,would like meet pediatrician tuesday,5
I would like to meet the eye specialist on Saturday.,Booking,52,would like meet eye specialist saturday,6
I would like to meet the pediatrician on Friday.,Booking,48,would like meet pediatrician friday,5
I would like to meet the cardiologist on Monday.,Booking,48,would like meet cardiologist monday,5
I would like to meet the doctor on next week.,Booking,45,would like meet doctor next week,6
I would like to meet the ENT specialist on Monday.,Booking,50,would like meet ent specialist monday,6
I would like to meet the physician on Monday.,Booking,45,would like meet physician monday,5
I would like to meet the eye specialist on Thursday.,Booking,52,would like meet eye specialist thursday,6
I would like to meet the doctor on Saturday.,Booking,44,would like meet doctor saturday,5
I would like to meet the orthopedic specialist on tomorrow.,Booking,59,would like meet orthoped specialist tomorrow,6
I would like to meet the dentist on this evening.,Booking,49,would like meet dentist even,5
I would like to meet the dermatologist on Wednesday.,Booking,52,would like meet dermatologist wednesday,5
I would like to meet the ENT specialist on Thursday.,Booking,52,would like meet ent specialist thursday,6
I would like to meet the cardiologist on next Monday.,Booking,53,would like meet cardiologist next monday,6
I would like to meet the ENT specialist on Friday.,Booking,50,would like meet ent specialist friday,6
I would like to meet the dentist on Thursday.,Booking,45,would like meet dentist thursday,5
I would like to meet the pediatrician on next week.,Booking,51,would like meet pediatrician next week,6
I would like to meet the orthopedic specialist on Wednesday.,Booking,60,would like meet orthoped specialist wednesday,6
I would like to meet the cardiologist on Tuesday.,Booking,49,would like meet cardiologist tuesday,5
I would like to meet the doctor on Wednesday.,Booking,45,would like meet doctor wednesday,5
I would like to meet the neurologist on next week.,Booking,50,would like meet neurologist next week,6
I would like to meet the cardiologist on Thursday.,Booking,50,would like meet cardiologist thursday,5
I would like to meet the orthopedic specialist on Tuesday.,Booking,58,would like meet orthoped specialist tuesday,6
I would like to meet the dermatologist on Thursday.,Booking,51,would like meet dermatologist thursday,5
I would like to meet the neurologist on next Monday.,Booking,52,would like meet neurologist next monday,6
I would like to meet the cardiologist on this evening.,Booking,54,would like meet cardiologist even,5
I would like to meet the neurologist on tomorrow.,Booking,49,would like meet neurologist tomorrow,5
I would like to meet the doctor on Friday.,Booking,42,would like meet doctor friday,5
I would like to meet the eye specialist on Wednesday.,Booking,53,would like meet eye specialist wednesday,6
I would like to meet the dermatologist on Saturday.,Booking,51,would like meet dermatologist saturday,5
I would like to meet the ENT specialist on next Monday.,Booking,55,would like meet ent specialist next monday,7
I would like to meet the neurologist on Saturday.,Booking,49,would like meet neurologist saturday,5
I would like to meet the orthopedic specialist on this evening.,Booking,63,would like meet orthoped specialist even,6
I would like to meet the ENT specialist on Wednesday.,Booking,53,would like meet ent specialist wednesday,6
I would like to meet the cardiologist on next week.,Booking,51,would like meet cardiologist next week,6
I would like to meet the dentist on Wednesday.,Booking,46,would like meet dentist wednesday,5
I would like to meet the orthopedic specialist on next Monday.,Booking,62,would like meet orthoped specialist next monday,7
I would like to meet the dentist on Friday.,Booking,43,would like meet dentist friday,5
I would like to meet the pediatrician on this evening.,Booking,54,would like meet pediatrician even,5
I would like to meet the physician on Thursday.,Booking,47,would like meet physician thursday,5
I would like to meet the physician on next Monday.,Booking,50,would like meet physician next monday,6
I would like to meet the dermatologist on Friday.,Booking,49,would like meet dermatologist friday,5
I would like to meet the orthopedic specialist on Monday.,Booking,57,would like meet orthoped specialist monday,6
I would like to meet the cardiologist on Saturday.,Booking,50,would like meet cardiologist saturday,5
I would like to meet the neurologist on this evening.,Booking,53,would like meet neurologist even,5
